"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","Male","Female","Other","SubjID","SubjGenderMale"
"131","first","1B",5.22,"Blair","Blair",NA,1,0,0,"Exp2_P297",0
"132","first","1B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P297",0
"133","first","1B",6.78,"Rebecca","Rebecca",NA,1,0,0,"Exp2_P297",0
"134","first","1C",1.28,"James","James",NA,1,0,0,"Exp2_P239",1
"135","first","1C",2.61,"Emerson","Emerson",NA,0,1,0,"Exp2_P239",1
"136","first","1C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P239",1
"137","first","1C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P239",1
"138","first","1C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P239",1
"139","first","1C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P239",1
"140","first","1C",6.82,"Emily","Emily",NA,1,0,0,"Exp2_P239",1
"141","first","2C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P341",1
"142","first","2C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P341",1
"143","first","2C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P341",1
"144","first","2C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P341",1
"145","first","2C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P341",1
"146","first","2C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P341",1
"147","first","2C",1.28,"James","James",NA,1,0,0,"Exp2_P341",1
"148","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P386",1
"149","first","1A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P386",1
"150","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P386",1
"151","first","1A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P386",1
"152","first","1A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P386",1
"153","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P386",1
"154","first","1A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P386",1
"155","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P281",1
"156","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P281",1
"157","first","3A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P281",1
"158","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P281",1
"159","first","3A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P281",1
"160","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P281",1
"161","first","3A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P281",1
"162","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P385",0
"163","first","2A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P385",0
"164","first","2A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P385",0
"165","first","2A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P385",0
"166","first","2A",3.61,"Stevie","Stevie",NA,0,1,0,"Exp2_P385",0
"167","first","2A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P385",0
"168","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P385",0
"169","first","2C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P410",0
"170","first","2C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P410",0
"171","first","2C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P410",0
"172","first","2C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P410",0
"173","first","2C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P410",0
"174","first","2C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P410",0
"175","first","2C",1.28,"James","James",NA,1,0,0,"Exp2_P410",0
"176","first","1C",1.28,"James","James",NA,1,0,0,"Exp2_P118",0
"177","first","1C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P118",0
"178","first","1C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P118",0
"179","first","1C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P118",0
"180","first","1C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P118",0
"181","first","1C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P118",0
"182","first","1C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P118",0
"183","first","2C",6.24,"Ashley","Ashley",NA,1,0,0,"Exp2_P26",1
"184","first","2C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P26",1
"185","first","2C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P26",1
"186","first","2C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P26",1
"187","first","2C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P26",1
"188","first","2C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P26",1
"189","first","2C",1.28,"James","James",NA,1,0,0,"Exp2_P26",1
"190","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P273",1
"191","first","1A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P273",1
"192","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P273",1
"193","first","1A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P273",1
"194","first","1A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P273",1
"195","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P273",1
"196","first","1A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P273",1
"197","first","2B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P402",0
"198","first","2B",4.34,"Riley","Riley",NA,1,0,0,"Exp2_P402",0
"199","first","2B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P402",0
"200","first","2B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P402",0
"201","first","2B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P402",0
"202","first","2B",5.22,"Blair","Blair",NA,0,1,0,"Exp2_P402",0
"203","first","2B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P402",0
"204","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P92",0
"205","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P92",0
"206","first","3A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P92",0
"207","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P92",0
"208","first","3A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P92",0
"209","first","3A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P92",0
"210","first","3A",4.73,"Kerry","Kerry",NA,1,0,0,"Exp2_P92",0
"211","first","3B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P217",1
"212","first","3B",4.34,"Riley","Riley",NA,1,0,0,"Exp2_P217",1
"213","first","3B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P217",1
"214","first","3B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P217",1
"215","first","3B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P217",1
"216","first","3B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P217",1
"217","first","3B",5.22,"Blair","Blair",NA,0,1,0,"Exp2_P217",1
"218","first","3B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P322",1
"219","first","3B",4.34,"Riley","Riley",NA,1,0,0,"Exp2_P322",1
"220","first","3B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P322",1
"221","first","3B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P322",1
"222","first","3B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P322",1
"223","first","3B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P322",1
"224","first","3B",5.22,"Blair","Blair",NA,0,1,0,"Exp2_P322",1
"225","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P206",0
"226","first","2A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P206",0
"227","first","2A",2.12,"Chris","Chris",NA,0,1,0,"Exp2_P206",0
"228","first","2A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P206",0
"229","first","2A",3.61,"Stevie","Stevie",NA,0,1,0,"Exp2_P206",0
"230","first","2A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P206",0
"231","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P206",0
"232","first","1C",1.28,"James","James",NA,1,0,0,"Exp2_P388",1
"233","first","1C",2.61,"Emerson","Emerson",NA,0,1,0,"Exp2_P388",1
"234","first","1C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P388",1
"235","first","1C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P388",1
"236","first","1C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P388",1
"237","first","1C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P388",1
"238","first","1C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P388",1
"239","first","3C",6.24,"Ashley","Ashley",NA,1,0,0,"Exp2_P364",1
"240","first","3C",4.39,"Jessie","Jessie",NA,1,0,0,"Exp2_P364",1
"241","first","3C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P364",1
"242","first","3C",3.87,"Reese","Reese",NA,0,1,0,"Exp2_P364",1
"243","first","3C",1.28,"James","James",NA,1,0,0,"Exp2_P364",1
"244","first","3C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P364",1
"245","first","3C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P364",1
"246","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P49",0
"247","first","1A",2.12,"Chris","Chris",NA,0,1,0,"Exp2_P49",0
"248","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P49",0
"249","first","1A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P49",0
"250","first","1A",4.73,"Kerry","Kerry",NA,1,0,0,"Exp2_P49",0
"251","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P49",0
"252","first","1A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P49",0
"253","first","2B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P20",1
"254","first","2B",4.34,"Riley","Riley",NA,1,0,0,"Exp2_P20",1
"255","first","2B",2.41,"Tommie","Tommie",NA,0,1,0,"Exp2_P20",1
"256","first","2B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P20",1
"257","first","2B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P20",1
"258","first","2B",5.22,"Blair","Blair",NA,1,0,0,"Exp2_P20",1
"259","first","2B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P20",1
"260","first","3B",5.86,"Elisha","Elisha",NA,1,0,0,"Exp2_P61",1
"261","first","3B",4.34,"Riley","Riley",NA,1,0,0,"Exp2_P61",1
"262","first","3B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P61",1
"263","first","3B",3.75,"Quinn","Quinn",NA,0,1,0,"Exp2_P61",1
"264","first","3B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P61",1
"265","first","3B",6.78,"Rebecca","Rebecca",NA,1,0,0,"Exp2_P61",1
"266","first","3B",5.22,"Blair","Blair",NA,1,0,0,"Exp2_P61",1
"267","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P37",0
"268","first","2A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P37",0
"269","first","2A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P37",0
"270","first","2A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P37",0
"271","first","2A",3.61,"Stevie","Stevie",NA,0,1,0,"Exp2_P37",0
"272","first","2A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P37",0
"273","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P37",0
"274","first","1B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P446",0
"275","first","1B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P446",0
"276","first","1B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P446",0
"277","first","1B",4.34,"Riley","Riley",NA,1,0,0,"Exp2_P446",0
"278","first","1B",5.22,"Blair","Blair",NA,0,1,0,"Exp2_P446",0
"279","first","1B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P446",0
"280","first","1B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P446",0
"281","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P238",0
"282","first","1A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P238",0
"283","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P238",0
"284","first","1A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P238",0
"285","first","1A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P238",0
"286","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P238",0
"287","first","1A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P238",0
"288","first","3C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P286",0
"289","first","3C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P286",0
"290","first","3C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P286",0
"291","first","3C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P286",0
"292","first","3C",1.28,"James","James",NA,1,0,0,"Exp2_P286",0
"293","first","3C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P286",0
"294","first","3C",5.34,"Jackie","Jackie",NA,1,0,0,"Exp2_P286",0
"295","first","2B",5.86,"Elisha","Elisha",NA,1,0,0,"Exp2_P7",1
"296","first","2B",4.34,"Riley","Riley",NA,1,0,0,"Exp2_P7",1
"297","first","2B",2.41,"Tommie","Tommie",NA,0,1,0,"Exp2_P7",1
"298","first","2B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P7",1
"299","first","2B",3.75,"Quinn","Quinn",NA,0,1,0,"Exp2_P7",1
"300","first","2B",5.22,"Blair","Blair",NA,1,0,0,"Exp2_P7",1
"301","first","2B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P7",1
"302","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P202",0
"303","first","1A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P202",0
"304","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P202",0
"305","first","1A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P202",0
"306","first","1A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P202",0
"307","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P202",0
"308","first","1A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P202",0
"309","first","1C",1.28,"James","James",NA,1,0,0,"Exp2_P207",1
"310","first","1C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P207",1
"311","first","1C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P207",1
"312","first","1C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P207",1
"313","first","1C",5.34,"Jackie","Jackie",NA,1,0,0,"Exp2_P207",1
"314","first","1C",6.24,"Ashley","Ashley",NA,1,0,0,"Exp2_P207",1
"315","first","1C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P207",1
"316","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P133",1
"317","first","3A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P133",1
"318","first","3A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P133",1
"319","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P133",1
"320","first","3A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P133",1
"321","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P133",1
"322","first","3A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P133",1
"323","first","3C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P320",0
"324","first","3C",4.39,"Jessie","Jessie",NA,1,0,0,"Exp2_P320",0
"325","first","3C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P320",0
"326","first","3C",3.87,"Reese","Reese",NA,0,1,0,"Exp2_P320",0
"327","first","3C",1.28,"James","James",NA,0,1,0,"Exp2_P320",0
"328","first","3C",6.82,"Emily","Emily",NA,1,0,0,"Exp2_P320",0
